location_id,lat,lon,crime_score,walk_score,NatWalkInd,light_count,light_score,safety_score,safe_label
sd_0,32.55,-117.28,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_1,32.55,-117.2745,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_2,32.55,-117.269,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_3,32.55,-117.26350000000001,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_4,32.55,-117.25800000000001,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_5,32.55,-117.25250000000001,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_6,32.55,-117.24700000000001,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_7,32.55,-117.24150000000002,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_8,32.55,-117.23600000000002,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_9,32.55,-117.23050000000002,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_10,32.55,-117.22500000000002,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_11,32.55,-117.21950000000002,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_12,32.55,-117.21400000000003,0.8941806110697107,0.3660714284882015,,0,0.0,0.5386081626569057,1
sd_13,32.55,-117.20850000000003,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_14,32.55,-117.20300000000003,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_15,32.55,-117.19750000000003,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_16,32.55,-117.19200000000004,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_17,32.55,-117.18650000000004,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_18,32.55,-117.18100000000004,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_19,32.55,-117.17550000000004,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_20,32.55,-117.17000000000004,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_21,32.55,-117.16450000000005,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_22,32.55,-117.15900000000005,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_23,32.55,-117.15350000000005,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_24,32.55,-117.14800000000005,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_25,32.55,-117.14250000000006,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_26,32.55,-117.13700000000006,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_27,32.55,-117.13150000000006,0.8941806110697107,0.0,1.0,0,0.0,0.44709030553485535,0
sd_28,32.55,-117.12600000000006,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_29,32.55,-117.12050000000006,0.8941806110697107,0.19642857141135203,4.666666667,0,0.0,0.49619744838769336,0
sd_30,32.55,-117.11500000000007,0.995427139082718,0.4374999999397321,9.166666667,0,0.0,0.607088569526292,1
sd_31,32.55,-117.10950000000007,0.995427139082718,0.4374999999397321,9.166666667,0,0.0,0.607088569526292,1
sd_32,32.55,-117.10400000000007,0.995427139082718,0.4374999999397321,9.166666667,0,0.0,0.607088569526292,1
sd_33,32.55,-117.09850000000007,0.995427139082718,0.4374999999397321,9.166666667,0,0.0,0.607088569526292,1
sd_34,32.55,-117.09300000000007,0.995427139082718,0.4374999999397321,9.166666667,0,0.0,0.607088569526292,1
sd_35,32.55,-117.08750000000008,0.995427139082718,0.4374999999397321,9.166666667,0,0.0,0.607088569526292,1
sd_36,32.55,-117.08200000000008,0.995427139082718,0.4374999999397321,9.166666667,0,0.0,0.607088569526292,1
sd_37,32.55,-117.07650000000008,0.995427139082718,0.4374999999397321,9.166666667,0,0.0,0.607088569526292,1
sd_38,32.55,-117.07100000000008,0.995427139082718,0.4374999999397321,9.166666667,0,0.0,0.607088569526292,1
sd_39,32.55,-117.06550000000009,0.995427139082718,0.4374999999397321,9.166666667,0,0.0,0.607088569526292,1
sd_40,32.55,-117.06000000000009,0.995427139082718,0.8125000000334821,16.16666667,0,0.0,0.7008385695497295,1
sd_41,32.55,-117.05450000000009,0.6677393130546712,0.7053571429097576,14.16666667,18,0.1,0.535208942254775,0
sd_42,32.55,-117.04900000000009,0.6677393130546712,0.669642857023278,13.5,3,0.016666666666666666,0.5054470374498217,0
